method,median_end_to_end_ns,median_end_to_end_ms
C0,53565565.0,53.565565
B1,228053745.5,228.0537455
B1,207379994.5,207.3799945
B1,56183365.0,56.183365
C1,59011580.5,59.0115805
B1,327542573.0,327.542573
B0,132205848.5,132.2058485
B1,330637377.0,330.637377
C0,52328985.0,52.328985
B0,56680987.5,56.6809875
C1,362459427.5,362.4594275
B1,189370889.5,189.3708895
B0,200422438.5,200.4224385
B0,237699690.0,237.69969
B0,356849655.5,356.8496555
B1,350625560.5,350.6255605
C1,196465808.5,196.4658085
B0,198697755.0,198.697755
B1,420087517.0,420.087517
B0,56527501.0,56.527501
C0,64997012.0,64.997012
B0,353106381.0,353.106381
B1,54534008.0,54.534008
B1,74055117.0,74.055117
B1,51619643.5,51.6196435
C1,169592828.0,169.592828
C0,195328494.5,195.3284945
B0,232232777.0,232.232777
B1,382473290.5,382.4732905
B0,229271910.0,229.27191
C0,52518002.0,52.518002
B1,334702675.0,334.702675
C1,53602674.5,53.6026745
C0,52647301.0,52.647301
C1,53557720.0,53.55772
C0,426433137.0,426.433137
C0,242186710.5,242.1867105
B0,415625535.0,415.625535
B1,58769576.5,58.7695765
B1,55006079.5,55.0060795
B1,183680950.5,183.6809505
B0,328817872.0,328.817872
C1,219679250.0,219.67925
C0,383485504.5,383.4855045
B1,65371678.5,65.3716785
C1,208539587.5,208.5395875
B1,310925183.0,310.925183
C0,204697326.0,204.697326
B0,51431978.0,51.431978
B1,190915493.0,190.915493
B1,206057198.0,206.057198
B1,182118704.0,182.118704
C0,450722847.5,450.7228475
B1,201652161.0,201.652161
B1,250762760.5,250.7627605
B1,163077495.0,163.077495
B0,54724186.0,54.724186
C0,231262574.0,231.262574
C1,391031142.0,391.031142
C1,55250177.5,55.2501775
B1,419233355.0,419.233355
C1,51475714.0,51.475714
B0,53661192.5,53.6611925
B1,344269250.5,344.2692505
B0,57155369.0,57.155369
B0,58809652.0,58.809652
C0,400314266.5,400.3142665
C1,241556583.5,241.5565835
B0,330761693.0,330.761693
C1,52189564.5,52.1895645
C0,53051502.0,53.051502
B0,60644159.5,60.6441595
C1,236481459.5,236.4814595
C1,199687386.5,199.6873865
C1,261427148.0,261.427148
B0,71082258.5,71.0822585
C1,322835266.5,322.8352665
C0,52117883.0,52.117883
B0,404703573.5,404.7035735
B1,52653494.0,52.653494
C1,319213001.0,319.213001
C0,415474979.5,415.4749795
C0,52214840.0,52.21484
C0,314559337.5,314.5593375
C1,353215381.5,353.2153815
B1,227968327.5,227.9683275
C1,193928234.0,193.928234
C1,363298004.0,363.298004
C0,349066111.5,349.0661115
C0,200690653.0,200.690653
C0,217677724.5,217.6777245
C1,54508248.0,54.508248
C0,57030504.5,57.0305045
C1,208661718.0,208.661718
C0,195453564.5,195.4535645
C1,169510241.5,169.5102415
C0,229029867.0,229.029867
C1,190657027.0,190.657027
C0,54118351.5,54.1183515
B1,333939726.5,333.9397265
C0,384636522.5,384.6365225
B0,51472189.5,51.4721895
C1,434709744.5,434.7097445
C1,372928911.0,372.928911
C1,64103565.5,64.1035655
C1,207861246.5,207.8612465
B1,63762850.5,63.7628505
B0,59469908.5,59.4699085
B1,490207146.0,490.207146
B0,208400248.5,208.4002485
C1,200979038.5,200.9790385
C1,58605135.5,58.6051355
C1,59577003.5,59.5770035
C1,61572084.0,61.572084
B1,224430808.0,224.430808
B0,256657686.5,256.6576865
B0,357890541.5,357.8905415
C1,58612317.5,58.6123175
C0,372192306.0,372.192306
C0,57322379.0,57.322379
C0,58890562.5,58.8905625
C1,480222120.0,480.22212
B1,206481398.0,206.481398
C0,439846244.5,439.8462445
C0,177727738.5,177.7277385
C0,196911016.0,196.911016
C0,379355907.0,379.355907
B0,310797410.0,310.79741
C1,53516672.0,53.516672
B1,53286712.5,53.2867125
B0,51357012.0,51.357012
C1,263794024.5,263.7940245
B0,336442333.5,336.4423335
B0,54198431.0,54.198431
C0,53700275.5,53.7002755
B1,66203571.5,66.2035715
C0,308136270.0,308.13627
B1,211551025.5,211.5510255
C1,182640950.0,182.64095
B0,314448938.0,314.448938
C1,386976471.0,386.976471
C0,396600032.5,396.6000325
B1,386802508.5,386.8025085
B1,427815595.0,427.815595
C1,348307398.5,348.3073985
C0,190278028.0,190.278028
B0,202586208.0,202.586208
B0,362722050.0,362.72205
C0,412015862.5,412.0158625
C0,169290610.0,169.29061
C1,295891901.0,295.891901
C0,53572206.5,53.5722065
B0,224590169.5,224.5901695
B1,319652374.0,319.652374
B1,244147861.0,244.147861
B0,216409139.5,216.4091395
B1,68771703.5,68.7717035
C0,164308228.0,164.308228
B1,50960147.0,50.960147
C1,204372250.5,204.3722505
B1,178305922.0,178.305922
C1,294859516.0,294.859516
